channel_id,name,subscribers,video_count,country,frequency,description_preview
UCF6EZsM8ZuFuaswA7ZtaB9Q,Ankit Deshwal,5420,100,IN,2,"Hi, my name is Ankit Deshwal. Here we talk about design and productivity."
UCvL583WdHqZdy1w_kdsEr6A,Orbxz,15600,111,CA,1,"Tech, Lifestyle & Gaming 🇨🇦

For all reviews, business inquiries and advertisements contact me through email
✉️: Orbxz.business@gmail.com
"
UCcaTUtGzOiS4cqrgtcsHYWg,jvscholz,339000,38,unknown,1,"c oo l te c h

"
UCWGFy6bn8EAyDzWz7jC77zA,ECLiPSE3D,23300,556,ID,1,"Eclipse3D brings architecture and interior design to life with stunning 3D visuals. Explore unique concepts such as tiny homes, cozy cottages, modern villas, luxury beach houses, seaside cave homes, t..."
UCVuLYFJJoGGBO5Tnup11Jdw,Midas / Tomi,536000,318,CA,1,Documenting my life experiences as it relates to tech!
UCKAUjhHoLQDyLRHPCcywruQ,CU Verma Vlogs,162,128,IN,1,"My daily lifestyle vlogs....😊


Special moments 


And Shorts video"
UC_h-Jl4Zxb7p-sSBTxprs4Q,Maisy Leigh,749000,452,US,1,"hey friends, i’m maisy ✨ i’m a designer & the founder of cozyleigh studios. this channel is like my diary — a mix of cozy vlogs, creative studio life, and the little rituals that keep me grounded. 

y..."
UCFFPYiTdG2-uZnSZtkhqs5w,Colin Kilday,3410,98,unknown,1,"A UK based doctor 🩺 with an interest in studying 📚 keyboards ⌨️ and all things desk setup related! 💻 
"
UCBCMR6JnwHua6NfN5UhAsfg,Chau,27400,230,US,1,Hi everyone! My name is Justin and I'm a self-taught developer currently working as a Developer Advocate at Airbyte! I make Tech and Coding content here primarily and overall just want to document my ...
UCBM2Z-kqN7ioFKeR_-iU0zA,Frontend With Chandel,2930,129,IN,1,"Welcome to my YouTube channel! 

I'm a former senior frontend engineer at MakeMyTrip with a rich history in startups, including building Couch Fashion, which was acquired by Myntra, and developing Myr..."
UCEli52HZqbog3LQr5sRzL1A,Shevon Salmon,522000,889,CA,1,"I'm not a tech reviewer. I just like using tech. 

Join my Discord: https://discord.gg/5AAKZEF

For any business inquiries, review or advertising you can contact me through email here: partnerships@s7..."
UCFqq4_WzabTHdXZSWLrutUg,ergonofis,3220,59,CA,1,"Our purpose:

We spend most of our lives at work, constantly facing new challenges, learning and growing. However, for office workers like you & I, spending most of our lives at works also means spend..."
UCSLeoz5odIGS2GdlbHbCAUg,Matthew Encina,520000,74,US,1,"Hello, I'm Matthew Encina. I'm a creative director, designer, and educator. I create content about living by design, and I share how that manifests in different parts of my life– home, work, and habit..."
UCTnRFtRPVXzp3JIHTiRJrLw,Alex Nicoll,19400,390,unknown,1,"vlogs, fashion, and lifestyle content
alexnicoll@palettemgmt.com"
UCsd0xmaXyUGpD35IX4xrYEw,Jeremiah Peoples,123000,154,US,1,Tech reviews and lifestyle of a self taught software engineer
UC4514FwdRy5gI6CdC9GPb0w,Chris Bumstead,4420000,838,unknown,1,
UCZluj21nqezZnCcbd2SAhWA,vibrateandcreate,369000,255,US,1,"Our goal at vibrateandcreate is to inspire people to reach their full potential, by helping them remember who they really are.  You are a CREATOR constantly creating with every thought and every word...."
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24700000,316,DE,1,"Animation videos explaining things with optimistic nihilism since 12,013.

We’re a team of illustrators, animators, number crunchers and one dog who aim to spark curiosity about science and the world ..."
UCHARmnz-8EkOyasRk0VMnhg,Motivational Resource,55900,145,US,1,"Motivational Resource is the best resource you can find when it to motivational, business, inspirational speeches.
-------------------------------------------------------------------------------------..."
UCkJEpR7JmS36tajD34Gp4VA,Psych2Go,12900000,3693,US,1,"Welcome to Psych2Go! We are a grassroot organization with the mission of making psychology, mental health, and self-discovery accessible, relatable, and a little less lonely.

The founder initially a ..."
UCk34OWR_oN7r1xzVMHVr3jA,All In One,647,43,unknown,1,
UCWXYDYv5STLk-zoxMP2I1Lw,Dan Koe,1170000,226,US,2,"If you want harsh truths, read my letters.
"
UCBMKymQczkDxCpE1R2vvA4Q,Joshua Becker,337000,447,US,1,"Welcome to Becoming Minimalist. If you are new, welcome! We are honored to have hundreds of thousands of regular readers at becomingminimalist.com, and brand new readers and viewers every day. If that..."
UCYVFeFY_4-755hqdPfB2qpw,Mia Yilin,288000,163,unknown,1,"stanford university
lifestyle, productivity & tech ⛅️
💌 miayilinbiz@gmail.com
"
UCvslwtnK99PwgEInK-ua6Qg,Mark Darwin,87200,148,US,1,"Helping you become the master of your reality and create your dream life.
"
UCxBh6E2w6peWXI0n_EFtlTQ,Trell The Trainer,746000,240,unknown,1,https://linktr.ee/trellthetrainer
UCtBw4N4-EiaAqK9TvZGlGDw,Kinobody,769000,2149,US,1,"This is the official YouTube channel for Kinobody, created by Greg O’Gallagher.

Kinobody isn’t just fitness—it’s a lifestyle built around simple yet powerful workouts, intermittent fasting, targeted ..."
UCbZmj05J9w8jHUgCmj1Xdcw,Tom Beckles,521000,1274,unknown,1,"I help busy people build an aesthetic physique with just 1 hour cooking per week 🔥

Online 1-1 Coaching:
▻ https://www.becklesfitness.co.uk

Gymshark: (code ""Beckles10"" for 10% off!)
▻ https://gymshar..."
UC5QESDRf1F0v1Ig8KHpCVCQ,Peakzmotivation,2200000,256,DE,1,"Join our FREE Newsletter👇🚀

What You’ll See on Our Channel:

• Inspiring Speeches 🙌
• Clips That Show What You Can Achieve in Life🔥
• Videos to Help You Grow 📈
• Feel-Good Stories 🏆
• And Lots More 👀
..."
